PID,audiofile_name,true_generation_method,generation_method,Rater1,Rater2,Rater3
P15,ASV_Audio/DF_E_3557594-REAL.wav,human,human,Liveliness,Liveliness,
P15,ASV_Audio/DF_E_2349543-FAKE.wav,computer,computer,No Reason,No Reason,
P15,ASV_Audio/DF_E_2529104-REAL.wav,human,human,Liveliness,Liveliness,
P15,ASV_Audio/DF_E_4669212-FAKE.wav,computer,computer,Prosody,Prosody,
P15,ASV_Audio/DF_E_2599549-REAL.wav,human,human,Liveliness,Liveliness,
P15,ASV_Audio/DF_E_3794060-REAL.wav,human,human,Liveliness,Liveliness,
P17,ASV_Audio/DF_E_3130104-FAKE.wav,computer,human,Prosody,Prosody,
P17,ASV_Audio/DF_E_4106739-REAL.wav,human,human,Liveliness,Liveliness,
P17,ASV_Audio/DF_E_3459340-REAL.wav,human,human,Liveliness,Liveliness,
P17,ASV_Audio/DF_E_3337280-FAKE.wav,computer,computer,Robotic,Robotic,
P17,ASV_Audio/DF_E_2010729-REAL.wav,human,human,Disfluency,Disfluency,
P17,ASV_Audio/DF_E_2363160-REAL.wav,human,computer,Prosody,Prosody,
P17,ASV_Audio/DF_E_2969299-FAKE.wav,computer,computer,Disfluency,No Reason,
P17,ASV_Audio/DF_E_4592269-FAKE.wav,computer,human,Human-Like,Human-Like,
P17,ASV_Audio/DF_E_3033457-FAKE.wav,computer,human,Liveliness,Liveliness,
P17,ASV_Audio/DF_E_4490349-FAKE.wav,computer,computer,Robotic,Robotic,
P17,ASV_Audio/DF_E_2724043-REAL.wav,human,computer,Robotic,Robotic,
P17,ASV_Audio/DF_E_4896798-FAKE.wav,computer,computer,Disfluency,Speaking Style,
P17,ASV_Audio/DF_E_4618126-FAKE.wav,computer,computer,Robotic,Robotic,
P17,ASV_Audio/DF_E_2166712-REAL.wav,human,human,Disfluency,Disfluency,
P17,ASV_Audio/DF_E_2482980-REAL.wav,human,human,Human-Like,Human-Like,
P17,ASV_Audio/DF_E_3124493-REAL.wav,human,computer,Robotic,Robotic,
P17,ASV_Audio/DF_E_3715830-FAKE.wav,computer,computer,Speaking Style,Speaking Style,
P17,ASV_Audio/DF_E_2037329-REAL.wav,human,human,Liveliness,Liveliness,
P17,ASV_Audio/DF_E_3930295-REAL.wav,human,computer,Robotic,Robotic,
P17,ASV_Audio/DF_E_4517912-REAL.wav,human,computer,Robotic,Robotic,
P19,ASV_Audio/DF_E_3505833-REAL.wav,human,human,Quality,Liveliness,
P19,ASV_Audio/DF_E_3733045-REAL.wav,human,computer,Quality,Quality,
P19,ASV_Audio/DF_E_3883963-FAKE.wav,computer,computer,Quality,Quality,
P19,ASV_Audio/DF_E_3782585-REAL.wav,human,human,Human-Like,Human-Like,
P19,ASV_Audio/DF_E_4272845-FAKE.wav,computer,computer,Quality,Quality,
P19,ASV_Audio/DF_E_4522230-REAL.wav,human,human,Quality,Quality,
P19,ASV_Audio/DF_E_4486303-FAKE.wav,computer,computer,Quality,Quality,
P19,ASV_Audio/DF_E_4376259-FAKE.wav,computer,computer,Robotic,Robotic,Robotic
P19,ASV_Audio/DF_E_2555604-FAKE.wav,computer,computer,Robotic,Robotic,
P19,ASV_Audio/DF_E_4151459-FAKE.wav,computer,human,Quality,Quality,
P19,ASV_Audio/DF_E_3473976-FAKE.wav,computer,computer,Quality,Quality,
P19,ASV_Audio/DF_E_2897951-REAL.wav,human,human,Speaking Style,Speaking Style,
P19,ASV_Audio/DF_E_2988251-REAL.wav,human,computer,Quality,Quality,
P19,ASV_Audio/DF_E_4230812-FAKE.wav,computer,computer,Quality,Robotic,
P19,ASV_Audio/DF_E_3338006-REAL.wav,human,human,Prosody,Prosody,
P19,ASV_Audio/DF_E_2869212-REAL.wav,human,human,Prosody,Prosody,
P19,ASV_Audio/DF_E_3762651-FAKE.wav,computer,computer,Prosody,Robotic,
P19,ASV_Audio/DF_E_4393143-FAKE.wav,computer,computer,Prosody,Robotic,
P19,ASV_Audio/DF_E_3118419-REAL.wav,human,human,Speaking Style,Speaking Style,
P19,ASV_Audio/DF_E_2631591-FAKE.wav,computer,computer,Quality,Quality,
P20,ASV_Audio/DF_E_4091720-REAL.wav,human,human,Human-Like,Human-Like,
P20,ASV_Audio/DF_E_4846497-REAL.wav,human,human,Human-Like,Human-Like,
P20,ASV_Audio/DF_E_3374310-FAKE.wav,computer,computer,Quality,Robotic,
P20,ASV_Audio/DF_E_4243272-FAKE.wav,computer,computer,Quality,Quality,
P20,ASV_Audio/DF_E_3798456-FAKE.wav,computer,computer,Quality,Quality,
P20,ASV_Audio/DF_E_4601880-REAL.wav,human,computer,Speaking Style,Robotic,
P20,ASV_Audio/DF_E_3218574-FAKE.wav,computer,computer,Speaking Style,Disfluency,
P20,ASV_Audio/DF_E_4708316-FAKE.wav,computer,computer,Quality,Quality,
P20,ASV_Audio/DF_E_2697039-FAKE.wav,computer,computer,Robotic,Robotic,Robotic
P20,ASV_Audio/DF_E_3368381-REAL.wav,human,human,Human-Like,Human-Like,
P20,ASV_Audio/DF_E_3492855-REAL.wav,human,computer,Speaking Style,Disfluency,
P20,ASV_Audio/DF_E_4438072-REAL.wav,human,human,Liveliness,Liveliness,
P20,ASV_Audio/DF_E_2689676-FAKE.wav,computer,computer,Speaking Style,Disfluency,
P20,ASV_Audio/DF_E_2991263-FAKE.wav,computer,computer,Quality,Quality,
P20,ASV_Audio/DF_E_4123112-REAL.wav,human,human,Human-Like,Human-Like,
P20,ASV_Audio/DF_E_3209620-REAL.wav,human,human,Quality,Quality,
P20,ASV_Audio/DF_E_4065625-FAKE.wav,computer,computer,Quality,Quality,
P20,ASV_Audio/DF_E_4653157-REAL.wav,human,human,Human-Like,Human-Like,
P20,ASV_Audio/DF_E_2809239-REAL.wav,human,human,Human-Like,Human-Like,
P20,ASV_Audio/DF_E_2340734-REAL.wav,human,human,Speed,Speed,
P28,ASV_Audio/DF_E_2253101-FAKE.wav,computer,human,Speaking Style,Human-Like,
P28,ASV_Audio/DF_E_4473558-FAKE.wav,computer,computer,Human-Like,Human-Like,
P28,ASV_Audio/DF_E_3639680-REAL.wav,human,human,Human-Like,Human-Like,
P28,ASV_Audio/DF_E_3692084-REAL.wav,human,human,Liveliness,Liveliness,
P28,ASV_Audio/DF_E_3082457-FAKE.wav,computer,human,Human-Like,Human-Like,
P28,ASV_Audio/DF_E_3216623-FAKE.wav,computer,human,Prosody,Human-Like,
P28,ASV_Audio/DF_E_3339869-REAL.wav,human,human,Prosody,Liveliness,
P28,ASV_Audio/DF_E_4199803-FAKE.wav,computer,computer,Prosody,Human-Like,
P28,ASV_Audio/DF_E_4117521-REAL.wav,human,human,Prosody,Human-Like,
P28,ASV_Audio/DF_E_3132819-REAL.wav,human,human,Prosody,Prosody,
P28,ASV_Audio/DF_E_2648088-FAKE.wav,computer,computer,Prosody,Human-Like,
P28,ASV_Audio/DF_E_3114390-FAKE.wav,computer,computer,Prosody,Prosody,
P28,ASV_Audio/DF_E_3580306-REAL.wav,human,human,Human-Like,Human-Like,Human-Like
P28,ASV_Audio/DF_E_4199129-REAL.wav,human,human,Human-Like,Human-Like,
P28,ASV_Audio/DF_E_2589269-REAL.wav,human,human,Prosody,Human-Like,
P28,ASV_Audio/DF_E_2402049-FAKE.wav,computer,computer,Prosody,Prosody,
P28,ASV_Audio/DF_E_4405892-REAL.wav,human,human,Liveliness,Liveliness,
P28,ASV_Audio/DF_E_2151687-FAKE.wav,computer,computer,Robotic,Robotic,
P28,ASV_Audio/DF_E_3857633-REAL.wav,human,human,Human-Like,Human-Like,
P28,ASV_Audio/DF_E_2289492-REAL.wav,human,human,Human-Like,Human-Like,
P31,ASV_Audio/DF_E_3003937-REAL.wav,human,human,Quality,Human-Like,
P31,ASV_Audio/DF_E_2049033-FAKE.wav,computer,computer,Speaking Style,Speaking Style,
P31,ASV_Audio/DF_E_4152658-FAKE.wav,computer,human,Quality,Quality,
P31,ASV_Audio/DF_E_4227977-REAL.wav,human,human,No Reason,Human-Like,
P31,ASV_Audio/DF_E_2490377-FAKE.wav,computer,computer,Quality,Quality,
P31,ASV_Audio/DF_E_4758651-REAL.wav,human,computer,Robotic,Robotic,
P31,ASV_Audio/DF_E_4768656-FAKE.wav,computer,human,Speaking Style,Speaking Style,
P31,ASV_Audio/DF_E_4625868-REAL.wav,human,human,Prosody,Prosody,
P31,ASV_Audio/DF_E_2774720-REAL.wav,human,human,Speaking Style,Disfluency,
P31,ASV_Audio/DF_E_4675541-REAL.wav,human,human,Human-Like,Human-Like,
P31,ASV_Audio/DF_E_3874147-FAKE.wav,computer,human,Speaking Style,Speaking Style,
P31,ASV_Audio/DF_E_4953206-REAL.wav,human,human,Liveliness,Liveliness,
P31,ASV_Audio/DF_E_2851542-FAKE.wav,computer,computer,Quality,Speed,
P31,ASV_Audio/DF_E_4303641-REAL.wav,human,human,Speaking Style,Speaking Style,
P31,ASV_Audio/DF_E_3543887-FAKE.wav,computer,human,Speed,Speed,
P31,ASV_Audio/DF_E_4883140-FAKE.wav,computer,human,Speaking Style,Speaking Style,
P31,ASV_Audio/DF_E_2781492-REAL.wav,human,human,Speaking Style,Speaking Style,
P31,ASV_Audio/DF_E_3044560-REAL.wav,human,human,Quality,Quality,
P31,ASV_Audio/DF_E_3755208-REAL.wav,human,human,Speaking Style,Speaking Style,
P31,ASV_Audio/DF_E_3785601-FAKE.wav,computer,human,Quality,Speaking Style,
P32,ASV_Audio/DF_E_2223149-FAKE.wav,computer,computer,Speed,Robotic,
P32,ASV_Audio/DF_E_3391978-REAL.wav,human,human,Prosody,Prosody,
P32,ASV_Audio/DF_E_4577028-REAL.wav,human,human,No Reason,Human-Like,
P32,ASV_Audio/DF_E_4844217-FAKE.wav,computer,computer,Prosody,Quality,
P32,ASV_Audio/DF_E_4529528-REAL.wav,human,human,Disfluency,Disfluency,
P32,ASV_Audio/DF_E_4963732-REAL.wav,human,human,Human-Like,Human-Like,
P32,ASV_Audio/DF_E_3219173-FAKE.wav,computer,human,Quality,Quality,
P32,ASV_Audio/DF_E_3813912-REAL.wav,human,human,Robotic,Robotic,
P32,ASV_Audio/DF_E_2747899-FAKE.wav,computer,computer,Robotic,Robotic,
P32,ASV_Audio/DF_E_4138665-FAKE.wav,computer,human,Human-Like,Human-Like,
P32,ASV_Audio/DF_E_4286149-REAL.wav,human,computer,Robotic,Robotic,
P32,ASV_Audio/DF_E_2854716-FAKE.wav,computer,computer,Quality,Quality,
P32,ASV_Audio/DF_E_2488779-FAKE.wav,computer,computer,Robotic,Robotic,
P32,ASV_Audio/DF_E_4958045-FAKE.wav,computer,human,Prosody,Human-Like,
P32,ASV_Audio/DF_E_2719668-REAL.wav,human,human,Human-Like,Human-Like,
P32,ASV_Audio/DF_E_2105821-REAL.wav,human,computer,Robotic,Robotic,
P32,ASV_Audio/DF_E_2485996-REAL.wav,human,human,Human-Like,Human-Like,
P32,ASV_Audio/DF_E_2487463-FAKE.wav,computer,human,Speaking Style,Speaking Style,
P32,ASV_Audio/DF_E_3504223-REAL.wav,human,human,Human-Like,Human-Like,
P32,ASV_Audio/DF_E_4528866-REAL.wav,human,human,Human-Like,Human-Like,
P36,ASV_Audio/DF_E_2982494-FAKE.wav,computer,computer,Robotic,Robotic,
P36,ASV_Audio/DF_E_4173954-REAL.wav,human,computer,Disfluency,Disfluency,Disfluency
P36,ASV_Audio/DF_E_3200917-REAL.wav,human,computer,Robotic,Robotic,
P36,ASV_Audio/DF_E_4918956-REAL.wav,human,human,No Reason,Human-Like,
P36,ASV_Audio/DF_E_2534282-FAKE.wav,computer,human,No Reason,No Reason,
P36,ASV_Audio/DF_E_4993165-FAKE.wav,computer,human,Prosody,Prosody,
P36,ASV_Audio/DF_E_4921727-REAL.wav,human,human,Human-Like,Human-Like,
P36,ASV_Audio/DF_E_2774316-FAKE.wav,computer,computer,Prosody,Prosody,
P36,ASV_Audio/DF_E_3282468-REAL.wav,human,human,Human-Like,Human-Like,
P36,ASV_Audio/DF_E_4873806-FAKE.wav,computer,computer,Robotic,Robotic,
P36,ASV_Audio/DF_E_3187550-FAKE.wav,computer,computer,Robotic,Robotic,
P36,ASV_Audio/DF_E_2140072-REAL.wav,human,human,Human-Like,Human-Like,
P36,ASV_Audio/DF_E_4793361-REAL.wav,human,human,Liveliness,Liveliness,
P36,ASV_Audio/DF_E_4492481-REAL.wav,human,human,Human-Like,Human-Like,
P36,ASV_Audio/DF_E_3926306-REAL.wav,human,computer,Speaking Style,Liveliness,
P36,ASV_Audio/DF_E_2731761-REAL.wav,human,human,Speaking Style,Speaking Style,
P36,ASV_Audio/DF_E_2023091-FAKE.wav,computer,computer,Robotic,Robotic,
P36,ASV_Audio/DF_E_3524600-FAKE.wav,computer,computer,Robotic,Robotic,
P36,ASV_Audio/DF_E_3792762-REAL.wav,human,computer,Robotic,Robotic,
P36,ASV_Audio/DF_E_3047944-FAKE.wav,computer,computer,Robotic,Robotic,
P38,ASV_Audio/DF_E_3743985-FAKE.wav,computer,human,Speaking Style,Speaking Style,
P38,ASV_Audio/DF_E_3319907-FAKE.wav,computer,computer,Speaking Style,Robotic,
P38,ASV_Audio/DF_E_2917671-REAL.wav,human,human,Prosody,Speaking Style,
P38,ASV_Audio/DF_E_3402416-FAKE.wav,computer,computer,Quality,No Reason,
P38,ASV_Audio/DF_E_3795741-REAL.wav,human,human,Prosody,Prosody,
P38,ASV_Audio/DF_E_3902002-FAKE.wav,computer,human,Speaking Style,Speaking Style,
P38,ASV_Audio/DF_E_3255570-FAKE.wav,computer,computer,Speed,Speed,
P38,ASV_Audio/DF_E_4465956-REAL.wav,human,human,Robotic,Robotic,
P38,ASV_Audio/DF_E_4411055-REAL.wav,human,human,No Reason,Human-Like,
P38,ASV_Audio/DF_E_2067806-FAKE.wav,computer,computer,Quality,Quality,
P38,ASV_Audio/DF_E_4297609-REAL.wav,human,human,Speaking Style,Speaking Style,
P38,ASV_Audio/DF_E_3018949-FAKE.wav,computer,human,No Reason,No Reason,
P38,ASV_Audio/DF_E_3325194-REAL.wav,human,human,Speaking Style,Speaking Style,
P38,ASV_Audio/DF_E_4111103-REAL.wav,human,human,Speaking Style,Speaking Style,
P38,ASV_Audio/DF_E_4161585-FAKE.wav,computer,human,No Reason,No Reason,
P38,ASV_Audio/DF_E_3270124-REAL.wav,human,human,Prosody,Prosody,
P38,ASV_Audio/DF_E_3830348-REAL.wav,human,human,Speaking Style,Speaking Style,
P38,ASV_Audio/DF_E_4912662-REAL.wav,human,human,No Reason,Speaking Style,
P38,ASV_Audio/DF_E_4197022-REAL.wav,human,human,Prosody,Speaking Style,
P38,ASV_Audio/DF_E_4419505-FAKE.wav,computer,computer,Robotic,Robotic,
P39,ASV_Audio/DF_E_4180006-REAL.wav,human,human,Human-Like,Human-Like,
P39,ASV_Audio/DF_E_3410645-FAKE.wav,computer,human,Human-Like,Human-Like,
P39,ASV_Audio/DF_E_4454429-REAL.wav,human,human,Human-Like,Human-Like,
P39,ASV_Audio/DF_E_2345492-FAKE.wav,computer,human,Speed,Speed,
P39,ASV_Audio/DF_E_4827702-FAKE.wav,computer,computer,No Reason,No Reason,
P39,ASV_Audio/DF_E_2696878-FAKE.wav,computer,computer,Prosody,Human-Like,
P39,ASV_Audio/DF_E_2135211-FAKE.wav,computer,human,Prosody,Disfluency,
P39,ASV_Audio/DF_E_3756285-REAL.wav,human,computer,Prosody,Robotic,
P39,ASV_Audio/DF_E_3721569-REAL.wav,human,human,Prosody,Disfluency,
P39,ASV_Audio/DF_E_3232751-REAL.wav,human,human,Disfluency,Disfluency,
P39,ASV_Audio/DF_E_4071432-FAKE.wav,computer,computer,Prosody,Robotic,
P39,ASV_Audio/DF_E_4171054-REAL.wav,human,computer,Speaking Style,Prosody,
P39,ASV_Audio/DF_E_3474001-FAKE.wav,computer,computer,Bad Response,Bad Response,
P39,ASV_Audio/DF_E_4974204-FAKE.wav,computer,human,Quality,Quality,
P39,ASV_Audio/DF_E_4613745-FAKE.wav,computer,human,Robotic,Robotic,
P39,ASV_Audio/DF_E_3538113-REAL.wav,human,computer,Robotic,Robotic,
P39,ASV_Audio/DF_E_3640742-FAKE.wav,computer,human,Human-Like,Human-Like,
P39,ASV_Audio/DF_E_2863471-REAL.wav,human,human,Prosody,Speed,
P39,ASV_Audio/DF_E_3803604-REAL.wav,human,computer,Robotic,Robotic,
P39,ASV_Audio/DF_E_2427298-REAL.wav,human,human,Liveliness,Liveliness,
P41,ASV_Audio/DF_E_4224393-FAKE.wav,computer,computer,Robotic,Robotic,
P41,ASV_Audio/DF_E_2181338-REAL.wav,human,human,Human-Like,Human-Like,
P41,ASV_Audio/DF_E_2675274-FAKE.wav,computer,computer,Robotic,Robotic,
P41,ASV_Audio/DF_E_4005998-REAL.wav,human,human,Human-Like,Human-Like,
P41,ASV_Audio/DF_E_2968274-REAL.wav,human,human,Disfluency,Disfluency,
P41,ASV_Audio/DF_E_4421484-REAL.wav,human,human,Disfluency,Disfluency,
P41,ASV_Audio/DF_E_2835454-REAL.wav,human,computer,Robotic,Robotic,
P41,ASV_Audio/DF_E_2264532-REAL.wav,human,computer,Robotic,Robotic,
P41,ASV_Audio/DF_E_3150362-REAL.wav,human,human,Speaking Style,Speaking Style,
P41,ASV_Audio/DF_E_2148759-FAKE.wav,computer,computer,Robotic,Robotic,
P41,ASV_Audio/DF_E_3877073-REAL.wav,human,human,Human-Like,Human-Like,
P41,ASV_Audio/DF_E_4173407-FAKE.wav,computer,computer,Robotic,Robotic,
P41,ASV_Audio/DF_E_2170737-REAL.wav,human,human,Disfluency,Disfluency,
P41,ASV_Audio/DF_E_4746473-REAL.wav,human,human,Human-Like,Human-Like,
P41,ASV_Audio/DF_E_4528915-FAKE.wav,computer,computer,Robotic,Robotic,
P41,ASV_Audio/DF_E_4817373-REAL.wav,human,human,Prosody,Prosody,
P41,ASV_Audio/DF_E_2588603-REAL.wav,human,human,Liveliness,Liveliness,
P41,ASV_Audio/DF_E_3690230-REAL.wav,human,human,Prosody,Prosody,
P41,ASV_Audio/DF_E_3288426-REAL.wav,human,human,Prosody,Prosody,
P41,ASV_Audio/DF_E_4039136-REAL.wav,human,computer,Robotic,Robotic,
P43,ASV_Audio/DF_E_3905505-FAKE.wav,computer,human,Human-Like,Human-Like,
P43,ASV_Audio/DF_E_3722926-FAKE.wav,computer,computer,Robotic,Robotic,
P43,ASV_Audio/DF_E_2912612-FAKE.wav,computer,human,Speaking Style,Speaking Style,
P43,ASV_Audio/DF_E_2787174-REAL.wav,human,human,Human-Like,Human-Like,
P43,ASV_Audio/DF_E_4494251-REAL.wav,human,human,Human-Like,Human-Like,
P43,ASV_Audio/DF_E_2881348-REAL.wav,human,human,Disfluency,Disfluency,
P43,ASV_Audio/DF_E_4805525-REAL.wav,human,human,Prosody,Prosody,
P43,ASV_Audio/DF_E_2060957-REAL.wav,human,human,Human-Like,Human-Like,
P43,ASV_Audio/DF_E_4445906-FAKE.wav,computer,computer,Prosody,Robotic,
P43,ASV_Audio/DF_E_2207783-REAL.wav,human,human,Prosody,Human-Like,
P43,ASV_Audio/DF_E_2323702-FAKE.wav,computer,computer,Robotic,Robotic,
P43,ASV_Audio/DF_E_2673966-FAKE.wav,computer,computer,Robotic,Robotic,
P43,ASV_Audio/DF_E_2418025-FAKE.wav,computer,computer,Robotic,Robotic,
P43,ASV_Audio/DF_E_4986574-FAKE.wav,computer,human,Prosody,Prosody,
